id,animal,entropia,metodo
24,31-2,8.39,Cooke
20,31-2,8.41,Cooke
41,31-2,8.88,Cooke
16,31-2,8.95,Cooke
5,31-2,9.37,Cooke
34,31-2,9.39,Cooke
27,31-2,9.4,Cooke
17,31-2,9.47,Cooke
29,31-2,9.69,Cooke
48,31-2,9.94,Cooke
23,31-2,10.14,Cooke
14,31-2,10.37,Cooke
12,31-2,10.92,Cooke
26,31-2,10.95,Cooke
13,31-2,11.22,Cooke
8,31-2,11.56,Cooke
49,31-2,11.68,Cooke
44,31-2,11.69,Cooke
37,31-2,11.73,Cooke
47,31-2,11.83,Cooke
36,31-2,11.89,Cooke
15,31-2,11.97,Cooke
2,31-2,12.04,Cooke
10,31-2,12.04,Cooke
45,31-2,12.06,Cooke
18,31-2,12.13,Cooke
32,31-2,12.23,Cooke
19,31-2,12.26,Cooke
28,31-2,12.66,Cooke
25,31-2,12.72,Cooke
42,31-2,12.88,Cooke
11,31-2,12.98,Cooke
43,31-2,13.17,Cooke
40,31-2,13.27,Cooke
33,31-2,13.42,Cooke
22,31-2,13.45,Cooke
7,31-2,13.66,Cooke
31,31-2,13.76,Cooke
39,31-2,13.76,Cooke
50,31-2,13.79,Cooke
38,31-2,13.82,Cooke
6,31-2,13.97,Cooke
21,31-2,14.12,Cooke
4,31-2,14.25,Cooke
3,31-2,14.26,Cooke
1,31-2,14.27,Cooke
9,31-2,14.53,Cooke
24,31-1,8.34,Cooke
27,31-1,8.47,Cooke
30,31-1,8.91,Cooke
26,31-1,9.25,Cooke
10,31-1,9.45,Cooke
16,31-1,9.6,Cooke
41,31-1,9.63,Cooke
45,31-1,9.78,Cooke
17,31-1,9.82,Cooke
23,31-1,9.83,Cooke
48,31-1,9.97,Cooke
34,31-1,10.12,Cooke
42,31-1,10.28,Cooke
5,31-1,10.42,Cooke
33,31-1,10.8,Cooke
8,31-1,10.94,Cooke
20,31-1,10.95,Cooke
28,31-1,11.02,Cooke
35,31-1,11.23,Cooke
7,31-1,11.77,Cooke
15,31-1,11.78,Cooke
22,31-1,11.78,Cooke
31,31-1,11.87,Cooke
43,31-1,11.97,Cooke
14,31-1,12.06,Cooke
47,31-1,12.07,Cooke
36,31-1,12.11,Cooke
21,31-1,12.15,Cooke
18,31-1,12.22,Cooke
32,31-1,12.26,Cooke
19,31-1,12.37,Cooke
44,31-1,12.39,Cooke
25,31-1,12.47,Cooke
40,31-1,12.52,Cooke
46,31-1,12.78,Cooke
11,31-1,13.34,Cooke
12,31-1,13.63,Cooke
38,31-1,13.69,Cooke
49,31-1,13.81,Cooke
13,31-1,13.93,Cooke
6,31-1,14,Cooke
9,31-1,14.03,Cooke
39,31-1,14.08,Cooke
37,31-1,14.24,Cooke
3,31-1,14.28,Cooke
4,31-1,14.39,Cooke
1,31-1,14.59,Cooke
2,31-1,14.67,Cooke
32,37-3,9.28,Cooke
22,37-3,9.31,Cooke
16,37-3,9.68,Cooke
38,37-3,9.71,Cooke
20,37-3,9.76,Cooke
28,37-3,9.8,Cooke
17,37-3,9.92,Cooke
37,37-3,9.96,Cooke
8,37-3,10.43,Cooke
47,37-3,10.48,Cooke
11,37-3,10.64,Cooke
44,37-3,10.69,Cooke
26,37-3,10.81,Cooke
46,37-3,10.93,Cooke
43,37-3,11.04,Cooke
27,37-3,11.24,Cooke
45,37-3,11.26,Cooke
15,37-3,11.29,Cooke
18,37-3,11.3,Cooke
35,37-3,11.32,Cooke
41,37-3,11.33,Cooke
30,37-3,11.68,Cooke
24,37-3,11.73,Cooke
31,37-3,11.73,Cooke
12,37-3,11.85,Cooke
25,37-3,12.07,Cooke
49,37-3,12.08,Cooke
5,37-3,12.12,Cooke
14,37-3,12.43,Cooke
6,37-3,12.54,Cooke
48,37-3,12.62,Cooke
9,37-3,12.8,Cooke
10,37-3,12.86,Cooke
7,37-3,13.16,Cooke
21,37-3,13.17,Cooke
40,37-3,13.22,Cooke
42,37-3,13.22,Cooke
19,37-3,13.26,Cooke
50,37-3,13.44,Cooke
33,37-3,13.46,Cooke
3,37-3,13.8,Cooke
34,37-3,14.11,Cooke
39,37-3,14.33,Cooke
4,37-3,14.51,Cooke
1,37-3,14.72,Cooke
2,37-3,14.79,Cooke
